DATE,SCHEDULED_DEPARTURE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRLINE,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DEPARTURE_DELAY
05/05/2015,07:00,LAX,BOS,AA,,,-5.0
30/07/2015,13:40,ATL,IND,WN,,,0.0
07/04/2015,10:53,CAE,DFW,EV,0.0,196.0,204.0
12/11/2015,17:00,MSP,ATL,WN,,,21.0
06/02/2015,06:55,LGA,STL,WN,,,-8.0
22/11/2015,14:35,HOU,MCO,WN,,,13.0
07/08/2015,10:35,FLL,MDW,WN,,,2.0
10/12/2015,21:40,PHX,ONT,WN,,,3.0
29/01/2015,07:10,STL,ATL,WN,,,-3.0
13/02/2015,15:20,ORD,SEA,AS,,,-7.0
20/11/2015,15:19,MDW,MSP,OO,0.0,33.0,51.0
25/12/2015,15:40,DAL,SAT,WN,,,-5.0
06/02/2015,15:15,EYW,ATL,DL,,,-17.0
03/08/2015,12:40,LAS,LAX,WN,,,0.0
11/12/2015,20:20,DFW,BNA,AA,,,-1.0
20/05/2015,20:39,SMF,SFO,OO,0.0,0.0,62.0
24/06/2015,07:15,SAT,MDW,WN,,,-7.0
12/12/2015,09:20,TPA,ATL,WN,,,0.0
07/06/2015,15:20,DFW,BWI,AA,,,0.0
15/05/2015,08:11,SJC,DEN,UA,,,-9.0
24/06/2015,05:35,DHN,ATL,EV,,,-6.0
07/12/2015,10:55,BUF,ATL,DL,,,-5.0
13/07/2015,06:00,BOS,IAD,B6,,,-3.0
27/03/2015,12:00,LGA,DEN,UA,,,13.0
22/01/2015,14:20,DFW,MCO,AA,0.0,0.0,22.0
22/11/2015,16:00,CLT,PHL,AA,,,0.0
22/07/2015,18:25,DEN,TPA,WN,,,16.0
19/11/2015,08:45,SLC,ORD,OO,0.0,0.0,103.0
28/03/2015,19:16,DFW,STL,AA,0.0,0.0,-2.0
13/02/2015,18:50,SEA,SNA,AS,,,-1.0
08/09/2015,05:45,SLC,PHX,WN,,,-2.0
03/11/2015,07:15,SFO,JFK,AA,,,-3.0
14/09/2015,20:30,SFO,LAX,AA,0.0,0.0,52.0
30/01/2015,18:44,MOB,ATL,EV,,,-7.0
31/05/2015,21:10,OAK,SLC,WN,0.0,48.0,54.0
10/12/2015,15:15,MCO,MDW,WN,,,-5.0
10/03/2015,13:45,ORD,MCO,UA,,,7.0
31/07/2015,18:40,DAY,EWR,EV,,,-5.0
22/03/2015,08:04,TUL,DFW,AA,,,-4.0
31/10/2015,20:15,10721,14771,B6,,,0.0
09/12/2015,06:00,DCA,MIA,AA,,,-2.0
18/09/2015,19:00,BOS,LGA,DL,,,-4.0
10/07/2015,18:20,ORD,MQT,MQ,0.0,7.0,21.0
27/02/2015,16:15,ORD,CVG,MQ,0.0,12.0,31.0
18/07/2015,07:25,LBB,IAH,EV,,,-3.0
07/11/2015,10:30,SAT,DAL,WN,,,-6.0
18/12/2015,11:55,BDL,BWI,WN,,,-1.0
07/12/2015,13:55,SLC,MSN,OO,,,-7.0
06/09/2015,15:15,LGA,STL,WN,,,0.0
20/04/2015,20:50,OGG,LAX,UA,0.0,39.0,70.0
04/06/2015,05:30,BNA,ATL,DL,,,6.0
07/11/2015,13:51,ORD,PHX,AA,,,-3.0
19/05/2015,19:33,DFW,DTW,NK,,,7.0
17/12/2015,17:00,JFK,MCO,B6,,,0.0
25/12/2015,19:29,LAX,PSP,OO,,,-9.0
21/10/2015,07:30,13487,13198,WN,,,-1.0
05/10/2015,15:20,13303,13930,AA,,,-7.0
01/06/2015,11:00,ORD,DAY,EV,,,-7.0
06/10/2015,11:17,13930,10423,AA,,,-6.0
29/10/2015,09:30,12892,11298,AA,,,8.0
17/02/2015,22:11,DEN,PSP,OO,,,30.0
13/05/2015,12:35,SMF,LAS,WN,,,3.0
01/10/2015,12:05,11433,12953,DL,0.0,10.0,22.0
24/11/2015,18:20,CLE,ORD,MQ,,,-4.0
03/05/2015,17:36,ATL,HSV,DL,,,2.0
09/05/2015,22:09,CLT,FLL,US,,,-4.0
10/08/2015,18:50,DEN,BOI,UA,0.0,153.0,168.0
18/11/2015,11:00,LGA,CLE,EV,,,-7.0
23/07/2015,19:50,MCO,SYR,B6,,,2.0
24/05/2015,06:45,BMI,ORD,MQ,,,-7.0
10/09/2015,22:10,DFW,CLL,MQ,,,-6.0
26/06/2015,18:59,PHX,MKE,US,,,8.0
11/01/2015,15:20,MSN,MSP,OO,,,-4.0
10/07/2015,09:28,PNS,DFW,MQ,,,-3.0
03/06/2015,07:10,MSP,LAX,NK,,,-8.0
11/08/2015,06:30,SJC,DEN,WN,,,0.0
16/08/2015,21:35,MIA,MSY,AA,,,-5.0
31/03/2015,13:04,IAD,MSP,EV,,,-4.0
08/05/2015,08:35,STL,MKE,WN,,,3.0
13/10/2015,05:00,13930,14107,AA,,,-6.0
18/10/2015,08:40,11697,12266,UA,,,-5.0
24/03/2015,11:05,PHX,IND,WN,,,-1.0
15/01/2015,19:59,ATL,CLT,US,,,0.0
27/08/2015,09:29,LAS,CLE,UA,,,-2.0
07/08/2015,20:15,LAS,DEN,WN,,,17.0
14/12/2015,07:15,ORD,SAN,AA,,,-5.0
13/05/2015,18:45,BWI,ATL,WN,0.0,0.0,154.0
25/12/2015,17:40,ATL,CLT,AA,,,-6.0
18/05/2015,15:15,MDW,BNA,WN,0.0,65.0,67.0
10/01/2015,09:35,LAX,MSP,OO,,,-3.0
11/07/2015,14:45,FLL,ATL,DL,,,-5.0
03/06/2015,12:10,GPT,IAH,EV,,,-7.0
15/11/2015,18:05,SFO,SAN,VX,0.0,52.0,55.0
30/03/2015,10:00,LGA,ORD,UA,0.0,0.0,46.0
10/09/2015,10:25,ORD,CMX,OO,,,-10.0
24/07/2015,18:27,MEM,IAH,EV,,,17.0
04/12/2015,12:50,MSY,CLT,AA,,,-2.0
01/10/2015,16:26,10397,14730,DL,,,1.0
09/02/2015,11:25,IAH,DEN,UA,,,-3.0
26/06/2015,14:37,ECP,ATL,DL,,,-4.0
